Crime,Date,Time,Address,Lat,Lng
Other,02/24/19,08:20 AM,25500 BLOCK OF PASITO ST SAN BERNARDINO COUNTY,34.1293584,-117.2469618
Burglary,02/24/19,09:39 AM,25200 BLOCK OF FISHER ST SAN BERNARDINO COUNTY,34.1261644,-117.2545269
Other,02/24/19,12:41 AM,3300 BLOCK OF JUNE ST SAN BERNARDINO COUNTY,34.1555794,-117.3491147
Other,02/23/19,11:02 PM,7900 BLOCK OF SUNNYSIDE AVE SAN BERNARDINO COUNTY,34.1099035,-117.262841
Other,02/23/19,11:37 PM,7900 BLOCK OF SUNNYSIDE AVE SAN BERNARDINO COUNTY,34.1099035,-117.262841
Arson,02/23/19,11:18 AM,900 BLOCK OF DEERCREST DR SAN BERNARDINO COUNTY,34.2346788,-117.3971454
Theft,02/23/19,12:30 PM,800 BLOCK OF W OLIVE ST SAN BERNARDINO COUNTY,34.1186426,-117.3009115
Other,02/23/19,12:34 PM,5500 BLOCK OF ELM AVE SAN BERNARDINO COUNTY,34.1539753,-117.2455736
Theft,02/23/19,02:13 PM,3200 BLOCK OF WAGON TRAIN RD SAN BERNARDINO COUNTY,34.3084719,-117.4677993
Assault,02/23/19,03:28 AM,W BASELINE ST/N D ST SAN BERNARDINO COUNTY,34.121352,-117.2919185
Theft,02/23/19,05:58 AM,3700 BLOCK OF N MOUNTAIN AVE SAN BERNARDINO COUNTY,34.1575908,-117.2570312
Theft,02/23/19,07:18 AM,5400 BLOCK OF ELM AVE SAN BERNARDINO COUNTY,34.1557365,-117.2455822
Other,02/23/19,09:38 AM,24700 BLOCK OF MONTEREY AVE SAN BERNARDINO COUNTY,34.1073954,-117.2667837
Other,02/23/19,09:42 AM,900 BLOCK OF W 40TH ST SAN BERNARDINO COUNTY,34.1646072,-117.3026445
Other,02/23/19,09:45 AM,400 BLOCK OF N WATERMAN AVE SAN BERNARDINO COUNTY,34.1065209,-117.2789798
Other,02/23/19,02:14 AM,3200 BLOCK OF WAGON TRAIN RD SAN BERNARDINO COUNTY,34.3084719,-117.4677993
Other,02/22/19,10:10 PM,1900 BLOCK OF NOLAN ST SAN BERNARDINO COUNTY,34.1488415,-117.33152
Other,02/22/19,11:14 PM,N STATE ST/W PORTER ST SAN BERNARDINO COUNTY,34.1414977,-117.3354626
Robbery,02/22/19,10:56 AM,2500 BLOCK OF N STATE ST SAN BERNARDINO COUNTY,34.1415157,-117.3354627
Other,02/22/19,02:42 PM,N PERRIS HILL RD/E BASELINE ST SAN BERNARDINO COUNTY,34.1213261,-117.263293
Burglary,02/22/19,04:18 PM,7000 BLOCK OF DWIGHT WAY SAN BERNARDINO COUNTY,34.1268007,-117.2563057
Assault,02/22/19,05:04 PM,2200 BLOCK OF W DARBY ST SAN BERNARDINO COUNTY,34.147213,-117.3442354
Assault,02/22/19,05:10 PM,25600 BLOCK OF 19TH ST SAN BERNARDINO COUNTY,34.1331521,-117.2480573
Other,02/22/19,06:03 PM,4000 BLOCK OF N E ST SAN BERNARDINO COUNTY,34.1648009,-117.3004725
Burglary,02/22/19,08:44 AM,5900 BLOCK OF ROGERS LN SAN BERNARDINO COUNTY,34.1462158,-117.2406895
Theft,02/22/19,09:26 AM,3200 BLOCK OF N GOLDEN AVE SAN BERNARDINO COUNTY,34.1494858,-117.2611387
Other,02/22/19,12:58 AM,N GARDEN DR/N CONEJO DR SAN BERNARDINO COUNTY,34.1399748,-117.2597596
Assault,02/21/19,07:15 PM,4200 BLOCK OF CYPRESS DR SAN BERNARDINO COUNTY,34.1718039,-117.3103301
Arrest,02/21/19,11:11 PM,W DARBY ST/N STATE ST SAN BERNARDINO COUNTY,34.146938,-117.3354629
Theft,02/21/19,12:47 PM,2300 BLOCK OF W OGDEN ST SAN BERNARDINO COUNTY,34.1578691,-117.3486183
Theft,02/21/19,01:39 PM,3300 BLOCK OF N DEL REY DR SAN BERNARDINO COUNTY,34.1513241,-117.2640982
Burglary,02/21/19,04:01 PM,25700 BLOCK OF 26TH ST SAN BERNARDINO COUNTY,34.1394788,-117.2430421
Assault,02/21/19,05:04 PM,2600 BLOCK OF N STATE ST SAN BERNARDINO COUNTY,34.143337,-117.3354771
Theft,02/21/19,10:14 AM,24700 BLOCK OF COURT ST SAN BERNARDINO COUNTY,34.1055342,-117.2667752
Burglary,02/21/19,12:17 AM,1100 BLOCK OF W 48TH ST SAN BERNARDINO COUNTY,34.1717876,-117.3123912
Other,02/20/19,10:19 PM,3000 BLOCK OF JUNE ST SAN BERNARDINO COUNTY,34.1506538,-117.3485729
Other,02/20/19,01:04 PM,24200 BLOCK OF 5TH ST SAN BERNARDINO COUNTY,34.1085844,-117.2771803
Theft,02/20/19,01:44 PM,2500 BLOCK OF W 2ND AVE SAN BERNARDINO COUNTY,34.1634178,-117.357562
Arrest,02/20/19,06:11 PM,NOLAN ST/W KERN ST SAN BERNARDINO COUNTY,34.1556194,-117.3376959
Other,02/20/19,10:13 AM,7100 BLOCK OF N BARTON ST SAN BERNARDINO COUNTY,34.1211649,-117.2648903
Other,02/20/19,10:16 AM,N MACY ST/W DARBY ST SAN BERNARDINO COUNTY,34.1469587,-117.3398292
Other,02/20/19,11:59 AM,5300 BLOCK OF ELM AVE SAN BERNARDINO COUNTY,34.1575542,-117.245297
Other,02/20/19,12:02 PM,ALABAMA ST/PIONEER AVE SAN BERNARDINO COUNTY,34.0811987,-117.2087568
Other,02/20/19,01:12 AM,25100 BLOCK OF E 18TH ST SAN BERNARDINO COUNTY,34.1308033,-117.2560458
Other,02/19/19,08:19 PM,2200 BLOCK OF W DARBY ST SAN BERNARDINO COUNTY,34.147213,-117.3442354
Other,02/19/19,09:46 PM,24700 BLOCK OF MONTEREY AVE SAN BERNARDINO COUNTY,34.1073954,-117.2667837
Theft,02/19/19,02:02 PM,2500 BLOCK OF W 3RD AVE SAN BERNARDINO COUNTY,34.1651605,-117.3573302
Vandalism,02/19/19,03:33 PM,4100 BLOCK OF N E ST SAN BERNARDINO COUNTY,34.1682459,-117.300498
Other,02/19/19,04:50 AM,5600 BLOCK OF BONNIE ST SAN BERNARDINO COUNTY,34.1521736,-117.2475815
Theft,02/19/19,05:26 AM,24700 BLOCK OF 4TH ST SAN BERNARDINO COUNTY,34.1064639,-117.2667762
Other,02/19/19,06:21 AM,4100 BLOCK OF N E ST SAN BERNARDINO COUNTY,34.1682459,-117.300498
Vandalism,02/19/19,06:34 AM,6700 BLOCK OF DEL ROSA DR SAN BERNARDINO COUNTY,34.1322526,-117.2523596
Theft,02/19/19,10:08 AM,2200 BLOCK OF W DARBY ST SAN BERNARDINO COUNTY,34.147213,-117.3442354
